# Simulation 19 (Up to date),,,,,,,,
# 325 data points written for 5 variables.,,,,,,,,
#,,,,,,,,
# Tempo (s),Altezza (m),Velocita' verticale (m/s),Motor mass (g),Forza d'attrito (N),,,,
# Event IGNITION occurred at t=0 seconds,,,,,,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,,
2.441,149.489,63.229,55.7,2.599,,,,
2.491,152.633,62.521,55.7,2.54,,,,
2.541,155.741,61.817,55.7,2.481,,,,
2.591,158.815,61.117,55.7,2.424,,,,
2.641,161.853,60.423,55.7,2.367,,,,
2.691,164.857,59.734,55.7,2.312,,,,
2.741,167.827,59.051,55.7,2.258,,,,
2.791,170.762,58.373,55.7,2.206,,,,
2.841,173.664,57.699,55.7,2.154,,,,
2.891,176.532,57.029,55.7,2.103,,,,
2.941,179.367,56.361,55.7,2.054,,,,
2.991,182.168,55.698,55.7,2.005,,,,
3.041,184.937,55.038,55.7,1.957,,,,
3.091,187.672,54.384,55.7,1.91,,,,
3.141,190.375,53.734,55.7,1.863,,,,
3.191,193.046,53.089,55.7,1.819,,,,
3.241,195.684,52.449,55.7,1.775,,,,
3.291,198.291,51.811,55.7,1.731,,,,
3.341,200.865,51.176,55.7,1.688,,,,
3.391,203.408,50.542,55.7,1.646,,,,
3.441,205.92,49.913,55.7,1.605,,,,
3.491,208.4,49.289,55.7,1.565,,,,
3.541,210.849,48.669,55.7,1.525,,,,
3.591,213.267,48.051,55.7,1.485,,,,
3.641,215.654,47.436,55.7,1.446,,,,
3.691,218.01,46.826,55.7,1.409,,,,
3.741,220.336,46.219,55.7,1.373,,,,
3.791,222.632,45.615,55.7,1.336,,,,
3.841,224.898,45.014,55.7,1.3,,,,
3.891,227.134,44.415,55.7,1.265,,,,
3.941,229.339,43.819,55.7,1.231,,,,
3.991,231.516,43.226,55.7,1.198,,,,
4.041,233.662,42.636,55.7,1.165,,,,
4.091,235.779,42.049,55.7,1.133,,,,
4.141,237.867,41.466,55.7,1.104,,,,
4.191,239.926,40.886,55.7,1.074,,,,
4.241,241.956,40.308,55.7,1.043,,,,
4.291,243.957,39.732,55.7,1.013,,,,
4.341,245.929,39.157,55.7,0.984,,,,
4.391,247.872,38.583,55.7,0.956,,,,
4.441,249.787,38.011,55.7,0.927,,,,
4.491,251.674,37.442,55.7,0.899,,,,
4.541,253.531,36.875,55.7,0.872,,,,
4.591,255.361,36.312,55.7,0.845,,,,
4.641,257.163,35.753,55.7,0.822,,,,
4.691,258.936,35.197,55.7,0.799,,,,
4.741,260.683,34.644,55.7,0.776,,,,
4.791,262.401,34.093,55.7,0.752,,,,
4.841,264.092,33.543,55.7,0.729,,,,
4.891,265.755,32.994,55.7,0.706,,,,
4.941,267.391,32.444,55.7,0.684,,,,
4.991,269,31.895,55.7,0.663,,,,
5.041,270.581,31.348,55.7,0.642,,,,
5.091,272.134,30.802,55.7,0.621,,,,
5.141,273.661,30.258,55.7,0.6,,,,
5.191,275.16,29.718,55.7,0.58,,,,
5.241,276.633,29.18,55.7,0.56,,,,
5.291,278.078,28.645,55.7,0.542,,,,
5.341,279.497,28.112,55.7,0.524,,,,
5.391,280.89,27.582,55.7,0.506,,,,
5.441,282.255,27.053,55.7,0.488,,,,
5.491,283.595,26.525,55.7,0.47,,,,
5.541,284.908,25.998,55.7,0.453,,,,
5.591,286.195,25.472,55.7,0.436,,,,
5.641,287.455,24.948,55.7,0.42,,,,
5.691,288.69,24.424,55.7,0.405,,,,
5.741,289.898,23.902,55.7,0.389,,,,
5.791,291.08,23.381,55.7,0.373,,,,
5.841,292.236,22.859,55.7,0.359,,,,
5.891,293.366,22.339,55.7,0.344,,,,
5.941,294.47,21.819,55.7,0.33,,,,
5.991,295.548,21.301,55.7,0.316,,,,
6.041,296.6,20.783,55.7,0.302,,,,
6.091,297.626,20.267,55.7,0.288,,,,
6.141,298.626,19.753,55.7,0.275,,,,
6.191,299.601,19.24,55.7,0.263,,,,
6.241,300.551,18.73,55.7,0.25,,,,
6.291,301.474,18.22,55.7,0.237,,,,
6.341,302.373,17.712,55.7,0.227,,,,
6.391,303.246,17.206,55.7,0.217,,,,
6.441,304.093,16.702,55.7,0.208,,,,
6.491,304.916,16.199,55.7,0.196,,,,
6.541,305.713,15.697,55.7,0.187,,,,
6.591,306.486,15.196,55.7,0.176,,,,
6.641,307.233,14.695,55.7,0.164,,,,
6.691,307.955,14.194,55.7,0.154,,,,
6.741,308.652,13.694,55.7,0.145,,,,
6.791,309.324,13.194,55.7,0.135,,,,
6.841,309.972,12.695,55.7,0.126,,,,
6.891,310.594,12.196,55.7,0.118,,,,
6.941,311.191,11.698,55.7,0.111,,,,
6.991,311.764,11.2,55.7,0.103,,,,
7.041,312.311,10.704,55.7,0.096,,,,
7.091,312.834,10.208,55.7,0.089,,,,
7.141,313.332,9.713,55.7,0.082,,,,
7.191,313.805,9.219,55.7,0.077,,,,
7.241,314.254,8.726,55.7,0.071,,,,
7.291,314.678,8.234,55.7,0.068,,,,
# Event EJECTION_CHARGE occurred at t=7.299 seconds,,,,,,,,
7.299,314.748,8.15,55.7,0.068,,,,
7.312,314.852,8.024,55.7,0.067,,,,
7.331,315.004,7.836,55.7,0.067,,,,
7.36,315.226,7.554,55.7,0.065,,,,
7.403,315.543,7.132,55.7,0.061,,,,
7.453,315.888,6.645,55.7,0.057,,,,
7.503,316.208,6.158,55.7,0.053,,,,
7.553,316.503,5.672,55.7,0.047,,,,
7.603,316.775,5.186,55.7,0.045,,,,
7.653,317.022,4.702,55.7,0.043,,,,
7.703,317.245,4.22,55.7,0.04,,,,
7.753,317.444,3.738,55.7,0.036,,,,
7.803,317.619,3.257,55.7,0.033,,,,
7.853,317.77,2.778,55.7,0.03,,,,
7.903,317.897,2.3,55.7,0.027,,,,
7.953,318,1.824,55.7,0.023,,,,
8.003,318.079,1.349,55.7,0.021,,,,
8.053,318.135,0.877,55.7,0.018,,,,
8.103,318.167,0.407,55.7,0.015,,,,
# Event APOGEE occurred at t=8.153 seconds,,,,,,,,
8.153,318.176,-0.06,55.7,0.012,,,,
8.203,318.161,-0.526,55.7,0.01,,,,
8.253,318.123,-1.005,55.7,0.008,,,,
8.303,318.061,-1.483,55.7,0.006,,,,
8.353,317.974,-1.959,55.7,0.005,,,,
8.403,317.865,-2.433,55.7,0.004,,,,
8.453,317.731,-2.905,55.7,0.003,,,,
8.503,317.574,-3.373,55.7,0.002,,,,
8.553,317.394,-3.838,55.7,0.002,,,,
8.603,317.19,-4.3,55.7,0.001,,,,
8.653,316.964,-4.757,55.7,7.21E-04,,,,
8.703,316.715,-5.209,55.7,3.95E-04,,,,
8.753,316.443,-5.656,55.7,2.41E-04,,,,
8.803,316.149,-6.097,55.7,1.32E-04,,,,
8.853,315.834,-6.531,55.7,2.53E-05,,,,
8.903,315.496,-6.957,55.7,1.28E-05,,,,
8.949,315.173,-7.335,55.7,9.10E-07,,,,
8.989,314.87,-7.666,55.7,0,,,,
9.026,314.585,-7.958,55.7,-2.71E-06,,,,
9.059,314.313,-8.225,55.7,-1.94E-05,,,,
9.091,314.049,-8.47,55.7,-5.36E-05,,,,
9.12,313.795,-8.696,55.7,-1.44E-04,,,,
9.149,313.545,-8.91,55.7,-3.30E-04,,,,
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=9.153 seconds,,,,,,,,
9.153,313.504,-8.945,55.7,-3.70E-04,,,,
9.154,313.495,-8.941,55.7,8.962,,,,
9.199,313.098,-8.753,55.7,8.949,,,,
9.245,312.699,-8.593,55.7,8.413,,,,
9.324,312.032,-8.36,55.7,8.074,,,,
9.409,311.332,-8.173,55.7,7.545,,,,
9.499,310.6,-8.033,55.7,7.045,,,,
9.595,309.832,-7.938,55.7,6.598,,,,
9.755,308.574,-7.836,55.7,6.319,,,,
9.941,307.119,-7.794,55.7,5.983,,,,
10.173,305.311,-7.794,55.7,5.777,,,,
10.673,301.409,-7.814,55.7,5.728,,,,
11.173,297.499,-7.824,55.7,5.72,,,,
11.673,293.587,-7.824,55.7,5.725,,,,
12.173,289.676,-7.82,55.7,5.734,,,,
12.673,285.766,-7.82,55.7,5.728,,,,
13.173,281.856,-7.82,55.7,5.726,,,,
13.673,277.947,-7.817,55.7,5.729,,,,
14.173,274.039,-7.817,55.7,5.726,,,,
14.673,270.131,-7.815,55.7,5.728,,,,
15.173,266.223,-7.814,55.7,5.728,,,,
15.673,262.317,-7.812,55.7,5.729,,,,
16.173,258.412,-7.81,55.7,5.73,,,,
16.673,254.507,-7.81,55.7,5.726,,,,
17.173,250.603,-7.806,55.7,5.733,,,,
17.673,246.7,-7.806,55.7,5.727,,,,
18.173,242.798,-7.803,55.7,5.731,,,,
18.673,238.897,-7.803,55.7,5.726,,,,
19.173,234.995,-7.801,55.7,5.729,,,,
19.673,231.095,-7.8,55.7,5.729,,,,
20.173,227.196,-7.798,55.7,5.729,,,,
20.673,223.298,-7.795,55.7,5.734,,,,
21.173,219.401,-7.792,55.7,5.735,,,,
21.673,215.504,-7.795,55.7,5.723,,,,
22.173,211.607,-7.792,55.7,5.73,,,,
22.673,207.711,-7.792,55.7,5.727,,,,
23.173,203.818,-7.781,55.7,5.749,,,,
23.673,199.925,-7.791,55.7,5.714,,,,
24.173,196.031,-7.785,55.7,5.736,,,,
24.673,192.139,-7.785,55.7,5.728,,,,
25.173,188.247,-7.784,55.7,5.727,,,,
25.673,184.355,-7.783,55.7,5.728,,,,
26.173,180.464,-7.781,55.7,5.729,,,,
26.673,176.574,-7.778,55.7,5.733,,,,
27.173,172.686,-7.775,55.7,5.734,,,,
27.673,168.798,-7.776,55.7,5.727,,,,
28.173,164.91,-7.776,55.7,5.727,,,,
28.673,161.023,-7.773,55.7,5.731,,,,
29.173,157.136,-7.773,55.7,5.726,,,,
29.673,153.25,-7.771,55.7,5.728,,,,
30.173,149.365,-7.769,55.7,5.731,,,,
30.673,145.481,-7.766,55.7,5.733,,,,
31.173,141.599,-7.762,55.7,5.737,,,,
31.673,137.717,-7.766,55.7,5.723,,,,
32.173,133.835,-7.763,55.7,5.731,,,,
32.673,129.953,-7.763,55.7,5.726,,,,
