# Simulation 18 (Up to date),,,,,,,,,,
# 308 data points written for 5 variables.,,,,,,,,,,
#,,,,,,,,,,
# Tempo (s),Altezza (m),Velocita' verticale (m/s),Motor mass (g),Forza d'attrito (N),,,,,,
# Event IGNITION occurred at t=0 seconds,,,,,,,,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,,,,
0.01,0.001,0.232,93.692,1.39E-05,,,,,,
0.02,0.008,1.054,93.373,9.90E-04,,,,,,
# Event LIFTOFF occurred at t=0.03 seconds,,,,,,,,,,
0.03,0.023,1.998,92.967,0.005,,,,,,
0.04,0.047,2.894,92.567,0.011,,,,,,
0.05,0.08,3.74,92.167,0.018,,,,,,
0.06,0.122,4.536,91.767,0.026,,,,,,
0.07,0.171,5.294,91.379,0.035,,,,,,
0.08,0.228,6.068,91.001,0.044,,,,,,
0.09,0.292,6.862,90.622,0.055,,,,,,
0.1,0.365,7.677,90.244,0.066,,,,,,
0.11,0.446,8.514,89.865,0.078,,,,,,
0.12,0.536,9.371,89.482,0.091,,,,,,
0.13,0.634,10.234,89.082,0.104,,,,,,
0.14,0.738,11.078,88.692,0.118,,,,,,
0.149,0.841,11.857,88.331,0.132,,,,Pioneer Ottimizzato,,Hyperion Ottimizzato
0.157,0.944,12.585,87.994,0.145,,,,,,
# Event LAUNCHROD occurred at t=0.165 seconds,,,,,,,,Media,,
0.165,1.047,13.271,87.676,0.158,,0.000897118,,0.000695347,,0.000644454
0.177,1.211,14.3,87.2,0.178,,0.000870458,,,,
0.195,1.481,15.843,86.485,0.209,,0.000832667,,,,
0.222,1.937,18.156,85.413,0.262,,0.000794806,,,,
0.262,2.737,21.624,83.805,0.351,,0.000750646,,,,
0.305,3.734,25.287,82.104,0.459,,0.000717824,,,,
0.345,4.822,28.749,80.498,0.575,,0.000695701,,,,
0.386,6.069,32.242,78.908,0.706,,0.000679142,,,,
0.434,7.725,36.321,77.029,0.877,,0.000664789,,,,
0.484,9.645,40.481,75.085,1.09,,0.000665157,,,,
0.534,11.772,44.573,73.14,1.33,,0.000669434,,,,
0.567,13.27,47.194,71.952,1.499,,0.00067302,,,,
0.589,14.339,48.95,71.146,1.617,,0.000674846,,,,
0.608,15.27,50.411,70.467,1.718,,0.00067604,,,,
0.625,16.147,51.736,69.845,1.81,,0.000676228,,,,
0.641,17.019,53.007,69.242,1.9,,0.000676219,,,,
0.658,17.919,54.275,68.634,1.991,,0.000675883,,,,
0.676,18.871,55.572,68.006,2.085,,0.00067514,,,,
0.694,19.916,56.948,67.333,2.187,,0.00067436,,,,
0.716,21.159,58.525,66.553,2.307,,0.000673542,,,,
0.748,23.086,60.856,65.403,2.495,,0.000673696,,,,
0.796,26.116,64.221,63.841,2.789,,0.00067623,,,,
0.817,27.425,65.562,63.191,2.914,,0.00067793,,,,
0.832,28.467,66.589,62.682,3.009,,0.000678605,,,,
0.846,29.41,67.488,62.229,3.093,,0.000679089,,,,
0.86,30.321,68.329,61.796,3.169,,0.000678754,,,,
0.874,31.288,69.196,61.343,3.247,,0.000678141,,,,
0.89,32.409,70.166,60.851,3.335,,0.000677396,,,,
0.911,33.878,71.371,60.273,3.448,,0.000676899,,,,
0.942,36.127,73.077,59.407,3.616,,0.000677122,,,,
0.989,39.594,75.386,58.245,3.856,,0.000678509,,,,
1.011,41.267,76.238,57.874,3.951,,0.000679773,,,,
1.028,42.616,76.799,57.577,4.01,,0.000679882,,,,
1.045,43.879,77.218,57.301,4.054,,0.000679903,,,,
1.061,45.177,77.545,57.019,4.088,,0.000679835,,,,
1.081,46.667,77.793,56.696,4.112,,0.000679473,,,,
1.108,48.762,77.933,56.383,4.124,,0.00067901,,,,
1.148,51.908,77.949,56.194,4.128,,0.000679389,,,,
1.173,53.849,77.862,56.077,4.12,,0.000679589,,,,
1.193,55.39,77.746,55.985,4.106,,0.000679302,,,,
1.212,56.911,77.589,55.893,4.088,,0.000679064,,,,
1.233,58.516,77.376,55.796,4.064,,0.000678799,,,,
1.257,60.397,77.069,55.727,4.028,,0.000678157,,,,
1.294,63.203,76.529,55.703,3.969,,0.000677687,,,,
# Event BURNOUT occurred at t=1.298 seconds,,,,,,,,,,
1.298,63.523,76.462,55.7,3.962,,,,,,
1.304,64.001,76.36,55.7,3.951,,,,,,
1.314,64.718,76.208,55.7,3.935,,,,,,
1.328,65.791,75.98,55.7,3.912,,,,,,
1.349,67.394,75.637,55.7,3.877,,,,,,
1.371,69.07,75.279,55.7,3.839,,,,,,
1.395,70.853,74.898,55.7,3.799,,,,,,
1.426,73.188,74.399,55.7,3.746,,,,,,
1.473,76.661,73.659,55.7,3.668,,,,,,
1.523,80.325,72.879,55.7,3.588,,,,,,
1.569,83.679,72.165,55.7,3.516,,,,,,
1.606,86.32,71.601,55.7,3.46,,,,,,
1.651,89.541,70.91,55.7,3.39,,,,,,
1.701,93.068,70.149,55.7,3.316,,,,,,
1.751,96.556,69.393,55.7,3.244,,,,,,
1.798,99.762,68.696,55.7,3.177,,,,,,
1.848,103.178,67.952,55.7,3.106,,,,,,
1.898,106.557,67.216,55.7,3.037,,,,,,
1.948,109.9,66.486,55.7,2.969,,,,,,
1.998,113.206,65.761,55.7,2.902,,,,,,
2.048,116.476,65.041,55.7,2.837,,,,,,
2.098,119.71,64.326,55.7,2.773,,,,,,
2.148,122.909,63.616,55.7,2.711,,,,,,
2.198,126.072,62.909,55.7,2.649,,,,,,
2.248,129.2,62.208,55.7,2.589,,,,,,
2.298,132.293,61.512,55.7,2.53,,,,,,
2.348,135.351,60.822,55.7,2.472,,,,,,
2.398,138.375,60.136,55.7,2.415,,,,,,
2.448,141.365,59.454,55.7,2.359,,,,,,
2.498,144.321,58.777,55.7,2.304,,,,,,
2.548,147.243,58.105,55.7,2.25,,,,,,
2.598,150.131,57.436,55.7,2.198,,,,,,
2.648,152.986,56.773,55.7,2.148,,,,,,
2.698,155.809,56.114,55.7,2.096,,,,,,
2.748,158.598,55.457,55.7,2.047,,,,,,
2.798,161.354,54.805,55.7,1.999,,,,,,
2.848,164.078,54.155,55.7,1.951,,,,,,
2.898,166.77,53.51,55.7,1.903,,,,,,
2.948,169.429,52.868,55.7,1.857,,,,,,
2.998,172.057,52.231,55.7,1.812,,,,,,
3.048,174.653,51.597,55.7,1.767,,,,,,
3.098,177.217,50.968,55.7,1.723,,,,,,
3.148,179.749,50.342,55.7,1.681,,,,,,
3.198,182.251,49.721,55.7,1.639,,,,,,
